Walking
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
 2	0.2779	-0.018421	-0.10591	-0.9873	-0.9573	-0.9497	0.8969	-0.37006	 0.129747	-0.9867	-0.9742	-0.9459	-0.02386	-0.08204	0.08784	-0.9730	-0.9714	-0.9649
 3	0.2800	-0.014338	-0.10162	-0.9667	-0.8934	-0.9114	0.9350	-0.30174	 0.024763	-0.9820	-0.9574	-0.9282	-0.02466	-0.05851	0.06653	-0.9005	-0.9278	-0.9124
 4	0.2805	-0.009489	-0.09616	-0.9769	-0.8616	-0.8969	0.9562	-0.07590	 0.166894	-0.9729	-0.9176	-0.8994	-0.03064	-0.06182	0.07556	-0.9097	-0.9492	-0.9100
 5	0.2825	-0.007004	-0.10217	-0.9686	-0.8694	-0.8693	0.9602	-0.03871	 0.138638	-0.9741	-0.9320	-0.9146	-0.03227	-0.05099	0.06909	-0.9104	-0.9337	-0.9075
 6	0.2803	-0.018124	-0.11217	-0.9818	-0.9215	-0.9257	0.9451	-0.23025	 0.013919	-0.9856	-0.9684	-0.9428	-0.02825	-0.05898	0.07674	-0.9476	-0.9425	-0.9478
 7	0.2827	-0.014574	-0.09978	-0.9793	-0.9234	-0.9171	0.9587	-0.11761	-0.051657	-0.9879	-0.9662	-0.9392	-0.02916	-0.07743	0.08510	-0.9452	-0.9496	-0.9516
 8	0.2796	-0.014811	-0.10611	-0.9888	-0.9385	-0.9261	0.9577	-0.09046	-0.097939	-0.9877	-0.9589	-0.9183	-0.02197	-0.02801	0.06369	-0.9730	-0.9694	-0.9741
 9	0.2823	-0.020045	-0.09527	-0.9757	-0.9386	-0.9193	0.9613	-0.01038	 0.009148	-0.9891	-0.9726	-0.9322	-0.02918	-0.06081	0.09924	-0.9220	-0.9460	-0.9399
10	0.2767	-0.015542	-0.10796	-0.9784	-0.9196	-0.9413	0.9540	-0.04316	 0.034698	-0.9913	-0.9754	-0.9596	-0.02819	-0.08768	0.10325	-0.9299	-0.9589	-0.9537
11	0.2777	-0.017199	-0.10869	-0.9950	-0.9642	-0.9864	0.9565	-0.17308	 0.127198	-0.9945	-0.9810	-0.9894	-0.02931	-0.07655	0.08106	-0.9802	-0.9942	-0.9806
12	0.2774	-0.016900	-0.10553	-0.9812	-0.9231	-0.9207	0.9573	-0.21887	-0.039538	-0.9853	-0.9705	-0.9395	-0.03000	-0.07001	0.07426	-0.8837	-0.9415	-0.9504
13	0.2778	-0.016789	-0.11212	-0.9910	-0.9494	-0.9675	0.9427	-0.23994	-0.052486	-0.9922	-0.9747	-0.9768	-0.02955	-0.07532	0.08547	-0.9556	-0.9717	-0.9734
14	0.2805	-0.015208	-0.10382	-0.9733	-0.9285	-0.9223	0.8753	-0.22669	-0.338175	-0.9720	-0.9658	-0.9408	-0.02209	-0.05581	0.07905	-0.9611	-0.9463	-0.9466
15	0.2789	-0.018352	-0.10591	-0.9889	-0.9319	-0.9517	0.9655	-0.16471	 0.064598	-0.9884	-0.9657	-0.9588	-0.02624	-0.06596	0.07619	-0.9478	-0.9713	-0.9682
16	0.2835	-0.016600	-0.10366	-0.9891	-0.9603	-0.9535	0.9416	-0.05789	-0.166737	-0.9854	-0.9806	-0.9596	-0.02993	-0.06867	0.08673	-0.9734	-0.9801	-0.9824
17	0.2779	-0.017412	-0.11143	-0.9912	-0.9682	-0.9705	0.9047	-0.25749	-0.202688	-0.9858	-0.9758	-0.9692	-0.02696	-0.07706	0.08806	-0.9814	-0.9851	-0.9855
18	0.2785	-0.016635	-0.10845	-0.9920	-0.9542	-0.9619	0.9476	-0.20421	-0.048577	-0.9943	-0.9813	-0.9760	-0.02659	-0.07323	0.08432	-0.9623	-0.9804	-0.9728
19	0.2782	-0.015424	-0.10904	-0.9899	-0.9444	-0.9526	0.9440	-0.22390	 0.130644	-0.9924	-0.9714	-0.9589	-0.02509	-0.06314	0.07105	-0.9461	-0.9696	-0.9607
20	0.2781	-0.018070	-0.10040	-0.9672	-0.8754	-0.9131	0.9112	-0.30594	 0.070866	-0.9819	-0.9575	-0.9424	-0.02413	-0.06983	0.07737	-0.8867	-0.9039	-0.9073
21	0.2770	-0.016708	-0.11042	-0.9814	-0.9436	-0.9461	0.8812	-0.34616	-0.207686	-0.9829	-0.9777	-0.9586	-0.01917	-0.07381	0.08649	-0.9625	-0.9560	-0.9593
22	0.2791	-0.015856	-0.10497	-0.9850	-0.9227	-0.9422	0.9541	-0.22642	 0.032382	-0.9928	-0.9711	-0.9589	-0.02752	-0.06901	0.07335	-0.9178	-0.9647	-0.9606
23	0.2779	-0.017748	-0.11060	-0.9854	-0.9584	-0.9294	0.9199	-0.11740	-0.223631	-0.9846	-0.9848	-0.9472	-0.03274	-0.06523	0.08169	-0.9420	-0.9481	-0.9624
24	0.2803	-0.014479	-0.10822	-0.9873	-0.9369	-0.9303	0.9664	-0.14520	-0.053059	-0.9922	-0.9682	-0.9462	-0.02786	-0.06925	0.07712	-0.9607	-0.9673	-0.9700
25	0.2780	-0.016357	-0.10735	-0.9920	-0.9546	-0.9646	0.9298	-0.15932	 0.201182	-0.9931	-0.9806	-0.9678	-0.02479	-0.06989	0.08527	-0.9714	-0.9768	-0.9718
26	0.2811	-0.016661	-0.11024	-0.9931	-0.9495	-0.9630	0.9655	-0.14032	 0.088414	-0.9927	-0.9670	-0.9642	-0.02453	-0.07314	0.07767	-0.9738	-0.9824	-0.9749
27	0.2796	-0.016593	-0.10784	-0.9920	-0.9552	-0.9624	0.9654	-0.18850	-0.005574	-0.9940	-0.9796	-0.9682	-0.02673	-0.06751	0.07168	-0.9699	-0.9825	-0.9813
28	0.2778	-0.017264	-0.10658	-0.9777	-0.8757	-0.9051	0.9485	-0.24766	-0.038583	-0.9901	-0.9628	-0.9518	-0.02533	-0.07390	0.08652	-0.8840	-0.9400	-0.9255
29	0.2780	-0.017261	-0.10866	-0.9961	-0.9693	-0.9802	0.9745	-0.05849	 0.031615	-0.9968	-0.9851	-0.9845	-0.02761	-0.07211	0.08276	-0.9780	-0.9904	-0.9834
30	0.2771	-0.017016	-0.10876	-0.9776	-0.8917	-0.9129	0.9686	-0.10030	 0.024304	-0.9964	-0.9581	-0.9492	-0.02761	-0.06703	0.08025	-0.9114	-0.9407	-0.9308


Laying
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
 1	0.2216	-0.04051	-0.11320	-0.9281	-0.8368	-0.8261	-0.2489	 0.70555	 0.44582	-0.8968	-0.9077	-0.8524	-0.016553	-0.06449	0.14869	-0.8735	-0.9511	-0.9083
 2	0.2814	-0.01816	-0.10725	-0.9741	-0.9803	-0.9842	-0.5098	 0.75254	 0.64683	-0.9590	-0.9882	-0.9842	-0.018477	-0.11180	0.14488	-0.9883	-0.9823	-0.9603
 3	0.2755	-0.01896	-0.10130	-0.9828	-0.9621	-0.9637	-0.2418	 0.83703	 0.48870	-0.9825	-0.9812	-0.9648	-0.020817	-0.07185	0.13800	-0.9745	-0.9773	-0.9635
 4	0.2636	-0.01500	-0.11069	-0.9542	-0.9417	-0.9627	-0.4207	 0.91517	 0.34153	-0.9212	-0.9698	-0.9762	-0.009232	-0.09301	0.16972	-0.9731	-0.9611	-0.9621
 5	0.2783	-0.01830	-0.10794	-0.9659	-0.9693	-0.9686	-0.4835	 0.95489	 0.26364	-0.9457	-0.9860	-0.9771	-0.021894	-0.07987	0.15989	-0.9795	-0.9774	-0.9606
 6	0.2487	-0.01025	-0.13312	-0.9340	-0.9246	-0.9252	-0.4767	 0.95659	 0.17587	-0.8877	-0.9592	-0.9281	-0.007961	-0.10722	0.17910	-0.9554	-0.9436	-0.9391
 7	0.2502	-0.02044	-0.10136	-0.9365	-0.9263	-0.9530	-0.5028	 0.39344	 0.90754	-0.9142	-0.9555	-0.9619	-0.002826	-0.13361	0.15592	-0.9601	-0.9451	-0.9553
 8	0.2613	-0.02123	-0.10225	-0.9430	-0.9349	-0.9325	-0.4059	 0.58992	 0.71983	-0.9189	-0.9580	-0.9418	 0.005354	-0.08914	0.13819	-0.9652	-0.9520	-0.9676
 9	0.2592	-0.02053	-0.10755	-0.9423	-0.9163	-0.9407	-0.5803	-0.11915	 0.95787	-0.9218	-0.9700	-0.9712	-0.013632	-0.15890	0.10128	-0.9422	-0.9266	-0.9616
10	0.2802	-0.02429	-0.11717	-0.9683	-0.9465	-0.9595	-0.4531	-0.13930	-0.03112	-0.9545	-0.9667	-0.9630	-0.019556	-0.07703	0.10472	-0.9617	-0.9537	-0.9719
11	0.2806	-0.01766	-0.10879	-0.9848	-0.9722	-0.9713	-0.1348	 0.94302	 0.11262	-0.9796	-0.9908	-0.9842	-0.019174	-0.04156	0.15202	-0.9808	-0.9824	-0.9599
12	0.2601	-0.01752	-0.10816	-0.9553	-0.9491	-0.9483	-0.3786	 0.80338	 0.27504	-0.9365	-0.9744	-0.9596	-0.014655	-0.08355	0.14519	-0.9661	-0.9539	-0.9502
13	0.2767	-0.02044	-0.10433	-0.9689	-0.9509	-0.9504	-0.1569	 0.65640	 0.59888	-0.9579	-0.9759	-0.9599	-0.009736	-0.09663	0.11782	-0.9721	-0.9627	-0.9674
14	0.2333	-0.01134	-0.08683	-0.9175	-0.9097	-0.9003	-0.1455	 0.48540	 0.83656	-0.8621	-0.9488	-0.9013	 0.005052	-0.15342	0.14912	-0.9572	-0.9325	-0.9523
15	0.2895	-0.01663	-0.11853	-0.9723	-0.9628	-0.9296	-0.1720	 0.89924	-0.03692	-0.9615	-0.9860	-0.9507	-0.016830	-0.06197	0.11345	-0.9572	-0.9611	-0.9565
16	0.2742	-0.01661	-0.10731	-0.9737	-0.9431	-0.9655	-0.2068	-0.01993	 0.89388	-0.9638	-0.9661	-0.9679	-0.016155	-0.11368	0.09662	-0.9770	-0.9707	-0.9848
17	0.2698	-0.01685	-0.10701	-0.9730	-0.9448	-0.9535	-0.1991	 0.65879	 0.72266	-0.9611	-0.9615	-0.9572	-0.023476	-0.09446	0.11144	-0.9759	-0.9715	-0.9762
18	0.2747	-0.01739	-0.10770	-0.9845	-0.9862	-0.9877	-0.2206	 0.71976	 0.60550	-0.9827	-0.9941	-0.9910	-0.025176	-0.08376	0.09378	-0.9929	-0.9842	-0.9851
19	0.2727	-0.01714	-0.10898	-0.9650	-0.9734	-0.9847	-0.6800	 0.72565	 0.68762	-0.9590	-0.9870	-0.9888	-0.031207	-0.09526	0.10861	-0.9814	-0.9636	-0.9732
20	0.2395	-0.01444	-0.10427	-0.9622	-0.9641	-0.9726	-0.4724	 0.86488	 0.47757	-0.9287	-0.9760	-0.9765	-0.023176	-0.09549	0.12368	-0.9845	-0.9729	-0.9724
21	0.2713	-0.01842	-0.10325	-0.9550	-0.9570	-0.9457	-0.1743	 0.59999	 0.78825	-0.9459	-0.9837	-0.9524	-0.030513	-0.11380	0.09809	-0.9754	-0.9521	-0.9813
22	0.2800	-0.01426	-0.11080	-0.9477	-0.9133	-0.9429	-0.4185	 0.63248	 0.77190	-0.9288	-0.9588	-0.9524	-0.020831	-0.09257	0.14500	-0.9566	-0.9619	-0.9333
23	0.2740	-0.02166	-0.10426	-0.9568	-0.9763	-0.9732	-0.3916	 0.43843	 0.91878	-0.9479	-0.9828	-0.9768	-0.011340	-0.10505	0.11108	-0.9818	-0.9592	-0.9839
24	0.2729	-0.01736	-0.10724	-0.9680	-0.9831	-0.9736	-0.3593	 0.73843	 0.68384	-0.9604	-0.9935	-0.9792	-0.014368	-0.09555	0.11173	-0.9827	-0.9603	-0.9817
25	0.2508	-0.01889	-0.10043	-0.9091	-0.6918	-0.7173	-0.4611	 0.62066	 0.52635	-0.8296	-0.6436	-0.6102	 0.003727	-0.07164	0.13972	-0.8898	-0.9366	-0.9109
26	0.2716	-0.01919	-0.10500	-0.9694	-0.9832	-0.9845	-0.6213	 0.80302	 0.61452	-0.9445	-0.9879	-0.9841	-0.017066	-0.09032	0.15244	-0.9903	-0.9793	-0.9693
27	0.2741	-0.01799	-0.10770	-0.9785	-0.9837	-0.9866	-0.5304	 0.56788	 0.84539	-0.9712	-0.9937	-0.9891	-0.019543	-0.09578	0.11874	-0.9888	-0.9843	-0.9784
28	0.2759	-0.01675	-0.10834	-0.9689	-0.9454	-0.9565	-0.4903	 0.14407	 0.01576	-0.9706	-0.9698	-0.9791	-0.017368	-0.09745	0.09358	-0.9552	-0.9601	-0.9624
29	0.2873	-0.01720	-0.10946	-0.9842	-0.9902	-0.9873	-0.3468	 0.80754	 0.59045	-0.9729	-0.9942	-0.9858	-0.025828	-0.07618	0.12741	-0.9943	-0.9928	-0.9750
30	0.2810	-0.01945	-0.10366	-0.9764	-0.9542	-0.9670	-0.3447	 0.73266	 0.68146	-0.9796	-0.9889	-0.9833	-0.026781	-0.07615	0.09385	-0.9737	-0.9660	-0.9689


